channelid,tvg-name,group-title,tvg-logo,channelname
11939,国学,其他,https://epg.v1.mk/logo/国学.png,国学
5860,IPTV谍战剧场,其他,https://epg.v1.mk/logo/IPTV谍战剧场.png,IPTV谍战剧场
5858,IPTV相声小品,其他,https://epg.v1.mk/logo/IPTV相声小品.png,IPTV相声小品
5861,IPTV野外,其他,https://epg.v1.mk/logo/IPTV野外.png,IPTV野外
5859,IPTV法治,其他,https://epg.v1.mk/logo/IPTV法治.png,IPTV法治
5527,IPTV3+,其他,https://epg.v1.mk/logo/IPTV3+.png,爱综艺
10617,IPTV5+,其他,https://epg.v1.mk/logo/IPTV5+.png,爱体育
5525,IPTV6+,其他,https://epg.v1.mk/logo/IPTV6+.png,爱电影
5521,IPTV8+,其他,https://epg.v1.mk/logo/IPTV8+.png,爱大剧
6161,经典电影,其他,https://epg.v1.mk/logo/IPTV经典电影.png,经典电影
6162,热播剧场,其他,https://epg.v1.mk/logo/IPTV热播剧场.png,热播剧场
5522,IPTV少儿动画,其他,https://epg.v1.mk/logo/IPTV少儿动画.png,少儿动画
5523,IPTV魅力时尚,其他,https://epg.v1.mk/logo/IPTV魅力时尚.png,魅力时尚
6243,收视指南,其他,https://epg.v1.mk/logo/IPTV收视指南.png,收视指南
11571,环球奇观,其他,https://epg.v1.mk/logo/环球奇观.png,环球奇观
10001822,发现之旅,其他,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/发现之旅.png,发现之旅
11568,中学生,其他,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/中学生.png,中学生
6083,书画,其他,https://epg.v1.mk/logo/书画.png,书画
